term,doc,tf
автоматизировать,57,0.000536
автоматизировать,79,0.001531
автоматизировать,86,0.000463
автоматизировать,87,0.000428
автоматизировать,88,0.000215
автоматизировать,9,0.001127
автоматизировать,90,0.000577
автоматизировать,92,0.000988
автоматизм,31,0.000554
автоматика,79,0.001021
автоматически,10,0.000955
автоматически,22,0.000542
автоматически,26,0.000772
автоматически,29,0.001255
автоматически,45,0.001735
автоматически,46,0.000592
автоматически,66,0.002196
автоматически,70,0.002362
автоматически,71,0.000633
автоматически,75,0.001866
автоматически,9,0.000564
автоматически,93,0.000758
автоматически,94,0.000876
автоматически,95,0.000635
автоматически,98,0.001767
автоматический,11,0.001144
автоматический,19,0.001252
автоматический,22,0.001085
автоматический,26,0.001544
автоматический,27,0.000517
автоматический,29,0.000627
автоматический,30,0.000592
автоматический,31,0.000554
автоматический,34,0.000559
автоматический,35,0.001087
автоматический,40,0.001576
автоматический,44,0.000626
автоматический,46,0.00237
автоматический,56,0.00317
автоматический,71,0.000633
автоматический,75,0.001244
автоматический,8,0.000975
автоматический,80,0.001159
автоматический,98,0.000883
автомобилестроение,62,0.000898
автомобилестроение,95,0.000635
автомобилист,40,0.000525
автомобилист,67,0.000228
автомобиль,17,0.000804
автомобиль,2,0.001762
автомобиль,40,0.001576
автомобиль,41,0.000439
автомобиль,56,0.000528
автомобиль,57,0.001609
автомобиль,6,0.00102
автомобиль,65,0.001214
автомобиль,67,0.000457
автомобиль,69,0.000614
автомобиль,73,0.000731
автомобиль,78,0.016216
автомобиль,79,0.00051
автомобиль,8,0.001462
автомобиль,82,0.000598
автомобиль,87,0.00171
автомобиль,89,0.000823
автомобиль,95,0.001904
автомобильный,12,0.00132
автомобильный,16,0.000311
автомобильный,2,0.000587
автомобильный,29,0.000627
автомобильный,53,0.000625
автомобильный,56,0.000528
автомобильный,57,0.000536
автомобильный,6,0.002041
автомобильный,78,0.002703
автомобильный,8,0.000487
автомобильный,82,0.000598
автомобильный,87,0.000428
автомобильный,95,0.000635
автономия,38,0.000618
автономно,10,0.000955
автономно,20,0.000574
автономно,38,0.000618
автономно,41,0.000439
автономно,56,0.000528
автономно,98,0.000883
автономность,16,0.000311
автономность,2,0.000587
автономность,40,0.00105
автономность,57,0.000536
автономность,78,0.004054
автономность,87,0.000428
автономный,10,0.000955
автономный,19,0.000626
автономный,20,0.000574
автономный,29,0.000627
автономный,34,0.001118
автономный,35,0.001087
автономный,38,0.001855
автономный,42,0.002039
автономный,56,0.000528
автономный,6,0.002041
автономный,61,0.002438
автономный,73,0.001462
автономный,78,0.001351
автономный,79,0.001021
автономный,86,0.001853
автономный,89,0.001646
автономный,93,0.000758
автопилот,2,0.000587
автопилот,23,0.000562
автопилот,38,0.000618
автопилот,57,0.000536
автопилот,6,0.00051
автопилот,78,0.002703
автопилот,8,0.000487
автопилот,86,0.000463
автопилот,87,0.000855
автопробег,48,0.000746
автопроизводитель,95,0.000635
автопролонгация,71,0.002217
автор,1,0.001674
автор,10,0.00191
автор,100,0.00184
автор,11,0.003432
автор,12,0.00198
автор,13,0.001924
автор,14,0.002815
автор,15,0.00109
автор,16,0.000621
автор,17,0.001608
автор,18,0.001821
автор,19,0.001879
автор,2,0.001762
автор,20,0.002298
автор,21,0.001839
автор,22,0.001627
автор,23,0.001685
автор,24,0.001709
автор,25,0.001836
автор,26,0.003861
автор,27,0.001033
автор,28,0.001526
автор,29,0.003137
автор,3,0.001843
автор,30,0.001775
автор,31,0.001662
автор,32,0.002736
автор,33,0.0016
автор,34,0.003354
автор,35,0.002174
автор,36,0.000911
автор,37,0.000778
автор,38,0.001855
автор,4,0.001728
автор,40,0.002101
автор,41,0.000878
автор,42,0.004077
автор,43,0.001866
автор,45,0.001735
автор,46,0.00237
автор,47,0.001712
автор,48,0.002983
автор,49,0.001479
автор,5,0.002484
автор,50,0.002809
автор,51,0.001386
автор,52,0.001509
автор,53,0.001875
автор,54,0.001631
автор,55,0.0058
автор,56,0.002113
автор,57,0.001609
автор,58,0.00087
автор,6,0.001531
автор,60,0.000949
автор,62,0.000898
автор,63,0.000494
автор,65,0.001214
автор,68,0.000924
автор,7,0.001824
автор,70,0.000787
автор,73,0.000731
автор,78,0.002703
автор,79,0.002042
автор,8,0.001462
автор,80,0.004056
автор,81,0.004228
автор,82,0.002392
автор,83,0.005698
автор,84,0.001051
автор,85,0.001687
автор,86,0.002316
автор,87,0.00171
автор,88,0.000859
автор,89,0.002469
автор,9,0.001127
автор,90,0.001731
автор,91,0.002237
автор,92,0.001976
автор,93,0.002273
автор,94,0.002627
автор,95,0.003807
автор,96,0.001951
автор,97,0.004147
автор,98,0.001767
автор,99,0.003594
авторизация,13,0.001443
авторизация,19,0.000626
авторизация,37,0.002724
авторизация,44,0.001252
авторизация,71,0.000633
авторизовать,44,0.000626
авторизоваться,10,0.000955
авторизоваться,71,0.000317
авторитет,34,0.000559
авторитет,59,0.003083
авторский,10,0.000955
авторский,100,0.00092
авторский,11,0.001144
авторский,16,0.000311
авторский,17,0.000804
авторский,21,0.000613
авторский,35,0.001087
авторский,36,0.000455
авторский,37,0.001167
авторский,45,0.000867
авторский,47,0.000856
авторский,52,0.000503
авторский,67,0.001142
авторский,74,0.001542
авторский,77,0.002852
авторский,8,0.000487
авторский,81,0.001057
авторский,84,0.000525
авторский,85,0.000562
авторский,87,0.000855
авторский,88,0.000215
авторский,9,0.000564
авторский,92,0.000988
авторский,93,0.000758
авторский,97,0.001555
авторство,37,0.000389
автосейв,90,0.000577
автосохранение,90,0.000577
автоспорт,56,0.000528
автострахование,61,0.000244
автотест,22,0.000542
автотест,4,0.000576
автотест,56,0.000528
автотест,87,0.000428
автотест,9,0.000564
автотранспорт,29,0.000627
автотранспортный,61,0.000975
автоустановка,75,0.000622
агент,1,0.003348
агент,10,0.038204
агент,11,0.018307
агент,18,0.001821
агент,2,0.002936
агент,20,0.002298
агент,21,0.000613
агент,22,0.001627
агент,24,0.005698
агент,25,0.005508
агент,26,0.003861
агент,27,0.002583
агент,28,0.005086
агент,29,0.000627
агент,3,0.000614
агент,31,0.003878
агент,32,0.002736
агент,33,0.005333
агент,34,0.000559
агент,37,0.000389
агент,38,0.003711
агент,4,0.004032
агент,41,0.002196
агент,42,0.002039
агент,46,0.000592
агент,5,0.000497
агент,51,0.001386
агент,52,0.008048
агент,54,0.001088
агент,56,0.007396
агент,57,0.004292
агент,6,0.00051
агент,63,0.000494
агент,79,0.00051
агент,80,0.000579
агент,82,0.002392
агент,83,0.001425
агент,85,0.000562
агент,88,0.000429
агент,89,0.000823
агент,9,0.002255
агент,90,0.002885
агент,91,0.002796
агент,97,0.001555
агент,98,0.001767
агент,99,0.004492
агентной,52,0.000503
агентной,99,0.000898
агентном,10,0.000955
агентном,20,0.000574
агентном,38,0.000618
агентном,56,0.000528
агентность,38,0.001237
агентный,11,0.001144
агентный,16,0.000311
агентный,2,0.001762
агентный,20,0.000574
агентный,24,0.001709
агентный,38,0.001237
агентный,52,0.001509
агентный,56,0.000528
агентный,57,0.001073
агентный,82,0.000598
агентный,84,0.000525
агентный,91,0.001678
агентный,99,0.002695
агентский,32,0.000684
агентский,33,0.000533
агентский,52,0.001006
агентский,56,0.000528
агентский,70,0.000787
агентский,74,0.000514
агентский,93,0.000758
агентство,18,0.000607
агентство,34,0.000559
агентство,58,0.00087
агентство,60,0.000949
агентство,61,0.000488
агентство,63,0.000494
агентство,64,0.001024
агентство,65,0.001214
агентство,67,0.000228
агентство,74,0.002057
агентство,76,0.000546
агентство,95,0.000635
агентство,97,0.000518
агиль,40,0.000525
агк,76,0.000546
агломерация,73,0.001462
аграрный,87,0.000428
аграрный,9,0.001691
агрегатор,13,0.000481
агрегированный,9,0.000564
агрегировать,9,0.000564
агрегироваться,13,0.000481
агрессивно,16,0.000311
агрессивный,17,0.000804
агрессивный,51,0.000462
агрессивный,89,0.000823
агрессия,5,0.000497
агрессия,59,0.001028
агрессия,79,0.00051
агрессия,80,0.000579
агропром,87,0.000428
агропромышленный,39,0.001212
агропромышленный,80,0.000579
ад,26,0.000772
ад,36,0.000455
ад,88,0.000215
адалта,51,0.000462
адам,43,0.000622
адам,84,0.000525
адаптация,15,0.000545
адаптация,22,0.000542
адаптация,27,0.000517
адаптация,67,0.000228
адаптация,85,0.000562
адаптация,87,0.000428
адаптация,95,0.000635
адаптация,96,0.00065
адаптер,100,0.00092
адаптер,22,0.001085
адаптер,25,0.000612
адаптер,3,0.001229
адаптивность,75,0.000622
адаптивность,81,0.001057
адаптивность,86,0.000463
адаптивность,87,0.000428
адаптивность,96,0.00065
адаптировать,1,0.000558
адаптировать,13,0.000481
адаптировать,15,0.000545
адаптировать,16,0.000311
адаптировать,18,0.001214
адаптировать,24,0.00057
адаптировать,26,0.000772
адаптировать,32,0.000684
адаптировать,55,0.00058
адаптировать,57,0.000536
адаптировать,62,0.000898
адаптировать,67,0.000228
адаптировать,78,0.001351
адаптировать,84,0.000525
адаптировать,94,0.000876
адаптироваться,18,0.000607
адаптироваться,22,0.000542
адаптироваться,27,0.000517
адаптироваться,59,0.001028
адаптироваться,67,0.000228
адаптироваться,73,0.000731
адаптироваться,78,0.001351
адаптироваться,79,0.00051
адаптироваться,8,0.000487
адаптироваться,82,0.000598
адаптироваться,83,0.001425
адаптироваться,90,0.000577
адаптироваться,96,0.00065
адаптироваться,99,0.000898
адв,61,0.000244
адвокат,37,0.000389
адвокат,63,0.000494
адвокат,74,0.000514
адекватный,19,0.000626
адекватный,25,0.000612
адекватный,27,0.000517
адекватный,28,0.000509
адекватный,49,0.000493
адекватный,79,0.00051
адекватный,8,0.000487
адекватный,90,0.000577
адекватный,98,0.000883
адепт,15,0.000545
адепт,25,0.000612
адепт,31,0.000554
адкок,29,0.001255
адмикс,61,0.000244
админ,88,0.000215
административно,61,0.000244
административный,39,0.003636
административный,67,0.000228
административный,68,0.001848
административный,69,0.000307
административный,72,0.000809
административный,9,0.001127
административный,95,0.000635
администратор,18,0.001214
администратор,19,0.001252
администратор,54,0.000544
администратор,8,0.000487
администратор,85,0.000562
администрация,1,0.000558
администрация,2,0.000587
администрация,33,0.000533
администрация,41,0.000439
администрация,42,0.001019
администрация,47,0.000856
администрация,49,0.000493
администрация,57,0.000536
администрация,66,0.001464
администрация,71,0.020899
администрация,86,0.000463
администрация,9,0.000564
администрирование,1,0.001116
администрирование,12,0.00198
администрирование,13,0.000481
администрирование,15,0.000545
администрирование,18,0.000607
администрирование,19,0.006888
администрирование,23,0.001124
администрирование,25,0.007344
администрирование,28,0.012208
администрирование,3,0.001229
администрирование,30,0.001775
администрирование,31,0.001662
администрирование,4,0.004032
администрирование,40,0.001576
администрирование,46,0.000592
администрирование,47,0.003425
администрирование,48,0.000746
администрирование,54,0.00435
администрирование,55,0.00116
администрирование,7,0.000608
администрирование,75,0.000622
администрирование,8,0.002437
администрирование,84,0.001576
администрировать,5,0.000497
админк,10,0.000955
админк,16,0.000932
админк,26,0.000772
админка,1,0.000558
админка,10,0.000955
админка,24,0.00057
админка,4,0.000576
админка,56,0.000528
админка,57,0.000536
админовый,93,0.000758
админский,25,0.000612
админский,28,0.000509
адмирал,68,0.000924
адреналин,85,0.000562
адрес,100,0.00092
адрес,21,0.001839
адрес,23,0.001124
адрес,37,0.005837
адрес,39,0.001212
адрес,44,0.008766
адрес,51,0.000462
адрес,66,0.005857
адрес,67,0.000457
адрес,71,0.0076
адрес,72,0.003238
адрес,74,0.003599
адрес,75,0.003109
адрес,9,0.000564
адресат,10,0.000955
адресный,63,0.001976
адресный,76,0.000546
адресный,86,0.000463
адский,88,0.000215
адыгея,61,0.000488
аж,30,0.000592
аж,43,0.001244
азартный,60,0.001898
азартный,61,0.000244
азимов,89,0.001646
азия,76,0.000546
азов,90,0.000577
азот,77,0.000951
аи,88,0.001073
айгензер,61,0.000244
айк,59,0.001028
айкон,76,0.000546
айпишник,34,0.000559
айрапетян,86,0.000463
айсберг,23,0.001685
айсберг,24,0.001709
айсберг,56,0.001585
айсберг,91,0.001678
айти,34,0.000559
айти,36,0.000455
айти,57,0.000536
айти,9,0.000564
айтишка,88,0.000215
айтишник,12,0.00066
айтишник,17,0.001608
айтишник,30,0.000592
айтишник,32,0.000684
айтишник,36,0.000455
айтишник,38,0.000618
айтишник,53,0.000625
айтишник,7,0.000608
айтишник,85,0.000562
айтишник,88,0.000215
айтишник,96,0.00065
айтишный,36,0.000455
айфончик,35,0.001087
ак,72,0.000405
ак,74,0.000514
академический,53,0.000625
академический,56,0.000528
академический,67,0.000228
академический,87,0.000428
акамар,10,0.000955
аква,76,0.000546
аквариум,36,0.000455
акватория,65,0.001214
аки,95,0.000635
аккаунт,1,0.000558
аккаунт,10,0.00382
аккаунт,100,0.00184
аккаунт,11,0.001144
аккаунт,12,0.00066
аккаунт,13,0.000481
аккаунт,14,0.000563
аккаунт,15,0.000545
аккаунт,16,0.000311
аккаунт,17,0.002412
аккаунт,18,0.000607
аккаунт,19,0.001252
аккаунт,2,0.000587
аккаунт,20,0.000574
аккаунт,21,0.000613
аккаунт,22,0.000542
аккаунт,23,0.000562
аккаунт,24,0.00057
аккаунт,25,0.001224
аккаунт,26,0.000772
аккаунт,27,0.000517
аккаунт,28,0.001017
аккаунт,29,0.000627
аккаунт,3,0.000614
аккаунт,30,0.000592
аккаунт,31,0.000554
аккаунт,32,0.000684
аккаунт,33,0.000533
аккаунт,34,0.001118
аккаунт,35,0.001087
аккаунт,36,0.000455
аккаунт,37,0.000389
аккаунт,38,0.000618
аккаунт,4,0.000576
аккаунт,40,0.000525
аккаунт,41,0.000439
аккаунт,42,0.001019
аккаунт,43,0.000622
аккаунт,44,0.000626
аккаунт,45,0.000867
аккаунт,46,0.000592
аккаунт,47,0.000856
аккаунт,48,0.000746
аккаунт,49,0.000493
аккаунт,5,0.000497
аккаунт,50,0.001404
аккаунт,51,0.000462
аккаунт,52,0.000503
аккаунт,53,0.000625
аккаунт,54,0.000544
аккаунт,55,0.00058
аккаунт,56,0.000528
аккаунт,57,0.000536
аккаунт,6,0.00051
аккаунт,61,0.000488
аккаунт,7,0.000608
аккаунт,75,0.001244
аккаунт,78,0.001351
аккаунт,79,0.00051
аккаунт,8,0.002924
аккаунт,80,0.000579
аккаунт,81,0.001057
аккаунт,82,0.000598
аккаунт,83,0.001425
аккаунт,84,0.000525
аккаунт,85,0.000562
аккаунт,86,0.000463
аккаунт,87,0.000428
аккаунт,88,0.000215
аккаунт,89,0.000823
аккаунт,9,0.000564
аккаунт,90,0.000577
аккаунт,91,0.001119
аккаунт,92,0.000988
аккаунт,93,0.000758
аккаунт,94,0.000876
аккаунт,95,0.000635
аккаунт,96,0.00065
аккаунт,97,0.000518
аккаунт,98,0.001767
аккаунт,99,0.000898
аккорд,36,0.000455
аккредитация,75,0.000622
аккумулятор,53,0.000625
аккумулятор,6,0.00102
аккумулятор,82,0.000598
аккумулятор,89,0.000823
аккумулятор,94,0.000876
аккумуляторный,6,0.00051
аккумуляторный,84,0.001051
аккурат,43,0.000622
аккуратно,16,0.000932
аккуратно,48,0.000746
аккуратно,52,0.000503
аккуратно,73,0.000731
аккуратность,52,0.000503
аккуратный,26,0.000772
аккуратный,30,0.000592
аккуратный,5,0.000497
аком,6,0.00102
акорн,67,0.000228
акоста,63,0.001976
акрон,76,0.000546
акроса,76,0.001092
акт,12,0.00066
акт,32,0.000684
акт,39,0.002424
акт,5,0.000497
акт,54,0.000544
акт,63,0.000988
акт,69,0.000307
акт,72,0.004452
акт,74,0.000514
акт,79,0.001021
акт,8,0.000487
актив,13,0.000962
актив,47,0.000856
актив,51,0.000462
актив,60,0.002846
актив,61,0.000731
актив,63,0.001976
актив,65,0.001214
актив,67,0.000228
актив,77,0.000951
актив,8,0.000975
актив,80,0.000579
активация,78,0.001351
активизация,89,0.000823
активизироваться,13,0.000481
активизироваться,23,0.000562
активировать,21,0.001226
активировать,34,0.000559
активно,17,0.000804
активно,19,0.000626
активно,33,0.000533
активно,41,0.000439
активно,47,0.000856
активно,49,0.000493
активно,5,0.000497
активно,52,0.000503
активно,6,0.00051
активно,67,0.000457
активно,73,0.000731
активно,8,0.000487
активно,86,0.000463
активно,91,0.000559
активность,49,0.000493
активность,67,0.000228
активность,71,0.000317
активность,72,0.000405
активность,79,0.00051
активность,90,0.000577
активность,96,0.00065
активный,100,0.00092
активный,16,0.000311
активный,25,0.000612
активный,28,0.000509
активный,35,0.001087
активный,38,0.000618
активный,41,0.000439
активный,58,0.00087
активный,62,0.000898
активный,67,0.000685
активный,73,0.002193
активный,84,0.000525
активный,91,0.001119
активный,93,0.000758
актор,88,0.000429
актуализироваться,76,0.000546
актуально,100,0.00092
актуально,51,0.000462
актуальность,66,0.000732
актуальность,71,0.000317
актуальность,72,0.000405
актуальность,75,0.000622
актуальный,100,0.00092
актуальный,14,0.000563
актуальный,17,0.000804
актуальный,26,0.000772
актуальный,29,0.000627
актуальный,37,0.000389
актуальный,40,0.00105
актуальный,44,0.000626
актуальный,47,0.001712
актуальный,5,0.000497
актуальный,51,0.000924
актуальный,55,0.00058
актуальный,67,0.000457
актуальный,71,0.00095
актуальный,75,0.001244
актуальный,8,0.000487
актуальный,82,0.000598
актуальный,84,0.000525
актуальный,94,0.001751
актуальный,97,0.000518
актёр,14,0.000563
актёр,63,0.000988
акула,22,0.000542
акустический,29,0.000627
акцентировать,49,0.000493
акцентировать,85,0.000562
акцепт,71,0.000317
акцептовать,71,0.000317
акциз,29,0.000627
акциз,39,0.003636
акциз,67,0.000228
акционерный,42,0.001019
акционерный,72,0.000405
акция,36,0.000911
акция,38,0.000618
акция,41,0.000439
акция,51,0.000462
акция,58,0.003478
акция,60,0.002846
акция,69,0.000307
акция,7,0.000608
акция,71,0.001267
акция,75,0.002488
акция,89,0.000823
акция,92,0.000988
алабуг,73,0.002193
алгоритм,10,0.000955
алгоритм,13,0.000481
алгоритм,14,0.000563
алгоритм,15,0.000545
алгоритм,18,0.001821
алгоритм,20,0.001149
алгоритм,25,0.000612
алгоритм,26,0.000772
алгоритм,29,0.003137
алгоритм,30,0.000592
алгоритм,32,0.00342
алгоритм,33,0.000533
алгоритм,34,0.000559
алгоритм,38,0.002474
алгоритм,45,0.002602
алгоритм,48,0.004474
алгоритм,49,0.000493
алгоритм,51,0.000924
алгоритм,55,0.00116
алгоритм,6,0.001531
алгоритм,7,0.000608
алгоритм,78,0.002703
алгоритм,79,0.001021
алгоритм,8,0.000487
алгоритм,81,0.001057
алгоритм,82,0.001794
алгоритм,86,0.000926
алгоритм,88,0.000429
алгоритм,94,0.002627
алгоритм,96,0.00065
алгоритм,99,0.000898
алгоритмика,20,0.000574
алгоритмист,89,0.000823
алгоритмический,20,0.000574
алготрейдинг,30,0.000592
алекс,79,0.002042
александр,13,0.000481
александр,19,0.000626
александр,23,0.000562
александр,24,0.00057
александр,34,0.000559
александр,49,0.000493
александр,56,0.000528
александр,61,0.000244
александр,63,0.001482
александр,65,0.003641
александр,80,0.001159
александр,88,0.000429
александр,90,0.001154
александр,97,0.000518
александров,61,0.000244
александров,62,0.004492
алексеев,20,0.000574
алексеевский,69,0.000307
алексей,15,0.000545
алексей,25,0.000612
алексей,30,0.000592
алексей,5,0.000497
алексей,61,0.000488
алексей,63,0.000494
алексей,67,0.000228
алексей,95,0.000635
алекситимия,81,0.011628
алерот,10,0.000955
алиби,49,0.000493
алиби,85,0.000562
алина,32,0.000684
алиса,18,0.002429
алиса,87,0.000428
алиса,97,0.000518
алкоголь,43,0.000622
алкоголь,60,0.001898
алкоголь,67,0.000228
алкоголь,70,0.000787
алкоголь,87,0.000428
алкогольный,39,0.001212
алла,58,0.002609
аллергический,25,0.000612
аллергический,31,0.000554
аллергия,17,0.000804
аллея,4,0.001152
аллея,80,0.001159
аллокация,13,0.000481
аллокация,26,0.000772
аллокация,48,0.000746
аллоцировать,28,0.000509
аллоцировать,30,0.000592
алмаз,49,0.001479
алмазный,3,0.000614
алрос,76,0.001092
алсип,49,0.000493
алсип,85,0.000562
алтай,61,0.000488
алтайский,61,0.000488
алфавит,76,0.001092
алфавитный,61,0.000488
аль,60,0.000949
аль,65,0.001214
альбом,84,0.000525
альтернатива,11,0.001144
альтернатива,12,0.00132
альтернатива,15,0.00109
альтернатива,17,0.000804
альтернатива,21,0.000613
альтернатива,23,0.001124
альтернатива,60,0.000949
альтернатива,67,0.000457
альтернатива,84,0.000525
альтернатива,90,0.000577
альтернатива,91,0.000559
альтернативный,43,0.000622
альтернативный,67,0.000228
альтернативный,68,0.000924
альтернативный,78,0.001351
альтернативный,89,0.000823
альтернативный,9,0.000564
альтман,29,0.000627
альтман,42,0.013252
альтман,86,0.00139
альтрициальный,96,0.00065
альтруистический,42,0.001019
альфа,14,0.001126
альфа,20,0.000574
альфа,22,0.000542
альфа,59,0.002055
альфа,61,0.001463
альфа,67,0.000457
альфа,80,0.000579
альфа,86,0.000463
альфабанк,17,0.000804
альфредо,63,0.000494
альцгеймер,96,0.00065
алюминиевый,35,0.002174
алюминиевый,67,0.000228
алюминий,35,0.001087
алюминий,36,0.000455
алюминий,87,0.000855
аляска,88,0.000215
ама,61,0.000975
амазона,93,0.001515
амбициозный,56,0.000528
амбициозный,6,0.00051
амбициозный,67,0.000228
амбициозный,84,0.000525
амбициозный,94,0.000876
амбиция,67,0.000228
амбиция,88,0.000215
америк,88,0.000215
америка,42,0.001019
американец,42,0.004077
американец,6,0.00051
американский,24,0.00057
американский,29,0.001255
американский,35,0.001087
американский,41,0.000878
американский,6,0.00051
американский,63,0.003458
американский,64,0.001024
американский,86,0.000463
американский,88,0.000429
американский,9,0.000564
амза,39,0.001212
ами,16,0.000311
аммиак,39,0.001212
амодея,1,0.000558
амодея,2,0.000587
амодея,33,0.000533
амодея,41,0.000439
амодея,42,0.007136
амодея,49,0.000493
амодея,57,0.000536
амортизация,16,0.000932
амортизация,28,0.001017
амортизация,30,0.001183
ампер,6,0.00051
амра,61,0.001463
амур,7,0.001824
амур,84,0.001576
амурский,61,0.000488
ан,24,0.00057
ан,56,0.000528
анализ,1,0.000558
анализ,12,0.00066
анализ,13,0.003367
